matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties
4IQToG6h,QUARTER-FINALS,AFTER PENALTIES,26.06.2013 16:00,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,0,1,0-0,3-4
U3UaxFKN,SEMI-FINALS,AFTER PENALTIES,29.06.2013 16:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,2,1,1-1,4-3
YaD1pWbH,FINAL,FINISHED,11.08.2013 18:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,
CSJ4yZZT,SEMI-FINALS,AFTER PENALTIES,29.06.2013 16:00,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,2,1-1,9-10
r9PXpzMb,QUARTER-FINALS,AFTER PENALTIES,26.06.2013 16:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,1,0,0-0,3-1
OKtVqfy5,QUARTER-FINALS,FINISHED,26.06.2013 16:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,1,,
2PfqjLTG,1/8-FINALS,FINISHED,23.06.2013 16:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Mateur,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,2,0,,
AeRPndin,QUARTER-FINALS,FINISHED,26.06.2013 16:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,3,,
llmNPngQ,1/8-FINALS,FINISHED,23.06.2013 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,3,0,,
pKYhKQGm,1/8-FINALS,FINISHED,23.06.2013 15:30,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,2,0,,
vJ5W2PoD,1/8-FINALS,AFTER PENALTIES,23.06.2013 15:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,2,1,1-1,3-1
jcZlL61s,1/8-FINALS,WALKOVER,23.06.2013 15:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,3,0,,
hMgER8OD,1/8-FINALS,AFTER EXTRA TIME,23.06.2013 15:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,4,2,2-2,
bNxcJpWg,1/8-FINALS,FINISHED,23.06.2013 15:30,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,,
WChIQSwK,1/8-FINALS,FINISHED,23.06.2013 15:30,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,0,,
U11iJefb,1/16-FINALS,FINISHED,10.06.2012 15:00,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,3,2,,
z7GyboOk,1/16-FINALS,FINISHED,20.06.2013 15:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,3,,
4Kg4GgvH,1/16-FINALS,AFTER PENALTIES,10.06.2012 15:00,Club Nafta,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,1,2,0-0,5-6
jHk0HZOA,1/16-FINALS,AFTER PENALTIES,10.06.2012 15:00,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,1,2,1-1,4-5
My2mKyuh,1/16-FINALS,AFTER PENALTIES,10.06.2012 15:00,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,0,0-0,3-2
ttP0dYno,1/16-FINALS,FINISHED,10.06.2012 15:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,5,0,,
8h0eIF94,1/16-FINALS,FINISHED,10.06.2012 15:00,Mateur,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,1,0,,
4KXY0EvU,1/16-FINALS,FINISHED,09.06.2012 15:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,2,1,,
AcYU1fPN,1/16-FINALS,AFTER EXTRA TIME,09.06.2012 15:00,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Grombalia Sports,https://static.flashscore.com/res/image/data/2ThmPMCa-vZhtxHcd.png,2,1,1-1,
ro3qLHPo,1/16-FINALS,FINISHED,09.06.2012 15:00,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,Espoir Bouchama,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,4,0,,
W6ZQ2zAH,1/16-FINALS,AFTER EXTRA TIME,09.06.2012 15:00,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,3,1,1-1,
dGHXbR8q,1/16-FINALS,FINISHED,09.06.2012 15:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,2,1,,
EVvM3GfB,1/16-FINALS,AFTER PENALTIES,08.06.2012 15:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,2,1,1-1,3-1
