matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
phx2WBUM,1/32-FINALS,FINISHED,25.02.2024 13:30,Progres Sakiet,https://static.flashscore.com/res/image/data/t0YQckjl-W8kdK7Z2.png,Bousalem,https://static.flashscore.com/res/image/data/rZHuvmzB-d0jfhUxB.png,1,0,,,,,,,,,,,,,,,,,
pKCLP0D7,1/32-FINALS,FINISHED,25.02.2024 13:30,Union Ksibet Mediouni,https://static.flashscore.com/res/image/data/IFOGS6eM-Y3QCyThc.png,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,1,0,,,,,,,,,,,,,,,,,
SW9K4BS9,1/64-FINALS,AFTER PENALTIES,28.01.2024 13:30,CO Medenine,https://static.flashscore.com/res/image/data/SUjK8zcM-KUuVL7Sc.png,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,0,1,0-0,5-6,,,,,,,,,,,,,,,
vcEQrU5j,1/64-FINALS,FINISHED,28.01.2024 13:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Djelma,https://static.flashscore.com/res/image/data/lxKtpOAr-8bK9aO3T.png,3,0,,,,,,,,,,,,,,,,,
0p8S2kcM,1/64-FINALS,FINISHED,28.01.2024 13:30,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,2,1,,,,,,,,,,,,,,,,,
IL2X19CS,1/64-FINALS,FINISHED,28.01.2024 13:30,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,2,0,,,,,,,,,,,,,,,,,
hEH77Dri,1/64-FINALS,FINISHED,28.01.2024 13:30,OC Kerkennah,https://static.flashscore.com/res/image/data/d8OFA7eM-xtN7tOLM.png,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,2,1,,,,,,,,,,,,,,,,,
W4GB6Xcc,1/64-FINALS,AFTER EXTRA TIME,27.01.2024 13:30,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,1,2,1-1,,,,,,,,,,,,,,,,
Mg9O3VsG,1/64-FINALS,AFTER EXTRA TIME,27.01.2024 13:30,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,1,2,1-1,,,,,,,,,,,,,,,,
ET5G5iD3,1/64-FINALS,FINISHED,27.01.2024 13:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,2,0,,,,,,,,,,,,,,,,,
Eil3dmzj,1/64-FINALS,AFTER PENALTIES,27.01.2024 13:30,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,3,2,2-2,4-3,,,,,,,,,,,,,,,
KUlacTKq,1/64-FINALS,FINISHED,27.01.2024 13:30,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,0,1,,,,,,,,,,,,,,,,,
