matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity
jV2VD0De,FINAL,FINISHED,27.08.2016 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,2,0,,,Stade El Menzah (Tunis),39 858
KvfKBgVe,QUARTER-FINALS,FINISHED,16.08.2016 19:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,2,0,,,Stade El Menzah (Tunis),39 858
bVhOADp2,QUARTER-FINALS,FINISHED,16.08.2016 17:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,1,,,Stade Olympique de Sousse (Sousse),40 000
GIaTAfDi,SEMI-FINALS,AFTER PENALTIES,20.08.2016 16:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,2,1-1,5-6,,
non6ZdN2,QUARTER-FINALS,FINISHED,16.08.2016 16:00,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,0,4,,,,
AuaX9ESc,SEMI-FINALS,FINISHED,20.08.2016 16:00,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,2,,,,
QyoAYGx9,QUARTER-FINALS,AWARDED,15.08.2016 16:00,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,2,0,,,,
I1x2N8tl,1/8-FINALS,FINISHED,07.02.2016 13:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,4,1,,,Stade Olympique de Sousse (Sousse),40 000
4IzALnB0,1/8-FINALS,FINISHED,07.02.2016 13:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,3,0,,,,
zwmcOlRs,1/8-FINALS,FINISHED,07.02.2016 13:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,2,1,,,,
r9ZDK6Q6,1/8-FINALS,AFTER PENALTIES,07.02.2016 13:30,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,0,0-0,4-3,,
dhy6MSef,1/8-FINALS,FINISHED,07.02.2016 13:30,Gafsa Ksar,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,5,,,,
vyTMIpeJ,1/8-FINALS,FINISHED,06.02.2016 13:30,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,1,2,,,,
QXOIJQuD,1/8-FINALS,FINISHED,05.02.2016 13:30,Stir Zarzouna,https://static.flashscore.com/res/image/data/G8cG25il-ImWlSf1s.png,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,1,3,,,,
O0KTuHdF,1/8-FINALS,FINISHED,06.02.2016 13:30,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,2,,,,
6o3gJQqn,1/16-FINALS,FINISHED,30.01.2016 13:30,BS Regueb,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,0,3,,,,
KfUz1qUH,1/16-FINALS,FINISHED,30.01.2016 13:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Siliana,https://static.flashscore.com/res/image/data/AqN7wmh5-xn8wh4Km.png,3,0,,,,
va11H4Eb,1/16-FINALS,FINISHED,30.01.2016 13:30,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,2,0,,,,
0fNO3opa,1/16-FINALS,FINISHED,30.01.2016 13:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,2,1,,,Stade El Menzah (Tunis),39 858
butS25a5,1/16-FINALS,FINISHED,30.01.2016 13:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,0,1,,,,
hOG6E2bH,1/16-FINALS,FINISHED,30.01.2016 13:30,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,0,,,,
b1H2FrqB,1/16-FINALS,FINISHED,30.01.2016 13:30,Gafsa Ksar,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,1,0,,,,
6XNK4RUh,1/16-FINALS,FINISHED,30.01.2016 13:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,4,2,,,Stade Olympique de Sousse (Sousse),40 000
hrakK6Uu,1/16-FINALS,FINISHED,30.01.2016 13:30,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,2,0,,,,
KAIbGOT4,1/16-FINALS,FINISHED,30.01.2016 13:30,Ksour Essef,https://static.flashscore.com/res/image/data/Ucr1l3Cr-thIDxTSM.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,4,,,,
082cIpah,1/16-FINALS,FINISHED,30.01.2016 13:30,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,2,0,,,,
t4VW1PEB,1/16-FINALS,AFTER PENALTIES,30.01.2016 13:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,1,0,0-0,4-1,Boujemaa Kmiti Stadium (Béja),15 000
SKXraNbU,1/16-FINALS,AFTER PENALTIES,30.01.2016 13:30,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,2,3,1-1,5-6,,
lUYv03qO,1/16-FINALS,FINISHED,30.01.2016 13:30,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,1,0,,,,
StPG57Fn,1/16-FINALS,FINISHED,30.01.2016 13:30,Stir Zarzouna,https://static.flashscore.com/res/image/data/G8cG25il-ImWlSf1s.png,NA Bouhjar,https://static.flashscore.com/res/image/data/SSQRn4ZA-K6ej6Fq9.png,3,1,,,,
bZjky4BR,1/32-FINALS,AWARDED,20.12.2015 13:30,Banani,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,0,2,,,,
jXVTTL31,1/32-FINALS,FINISHED,20.12.2015 13:30,Barnousa,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Siliana,https://static.flashscore.com/res/image/data/AqN7wmh5-xn8wh4Km.png,1,2,,,,
tK3vJ4kq,1/32-FINALS,FINISHED,20.12.2015 13:30,BS Regueb,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,ES Elejmi,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,2,1,,,,
4CioxpdL,1/32-FINALS,FINISHED,20.12.2015 13:30,Gafsa Ksar,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,2,0,,,,
dAWPU1le,1/32-FINALS,FINISHED,20.12.2015 13:30,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,5,1,,,,
8pbxv6R8,1/32-FINALS,FINISHED,20.12.2015 13:30,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,Menzel Abderrahmane,https://static.flashscore.com/res/image/data/d277DrwS-8An8DXeO.png,1,0,,,,
fN7rIO4k,1/32-FINALS,FINISHED,20.12.2015 13:30,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,ES Bouficha,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,5,3,,,,
GxdiG2Z1,1/32-FINALS,AFTER EXTRA TIME,20.12.2015 13:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,NA Bouhjar,https://static.flashscore.com/res/image/data/SSQRn4ZA-K6ej6Fq9.png,2,3,2-2,,,
27ZXSuJ7,1/32-FINALS,AFTER PENALTIES,20.12.2015 13:30,Ksour Essef,https://static.flashscore.com/res/image/data/Ucr1l3Cr-thIDxTSM.png,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,1,0,0-0,,,
UgaYvnC2,1/32-FINALS,FINISHED,20.12.2015 13:30,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,AS Mohamdia,https://static.flashscore.com/res/image/data/drgNGNBr-dAqyfDKN.png,4,3,,,,
0rwHWNJr,1/32-FINALS,FINISHED,20.12.2015 13:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,2,0,,,Boujemaa Kmiti Stadium (Béja),15 000
IJXLVsZl,1/32-FINALS,AFTER EXTRA TIME,20.12.2015 13:30,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,Metouia,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,2,0,0-0,,,
4CDGiPe8,1/32-FINALS,FINISHED,20.12.2015 13:30,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,2,0,,,,
j9mswQtF,1/32-FINALS,FINISHED,19.12.2015 13:30,Djbeniena,https://static.flashscore.com/res/image/data/8xRBfLYA-pEKLWfdn.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,0,1,,,,
xncmHrKe,1/32-FINALS,AFTER PENALTIES,19.12.2015 13:30,Djelma,https://static.flashscore.com/res/image/data/lxKtpOAr-8bK9aO3T.png,Stir Zarzouna,https://static.flashscore.com/res/image/data/G8cG25il-ImWlSf1s.png,0,1,0-0,5-6,,
OvHCNpsS,1/32-FINALS,FINISHED,19.12.2015 13:30,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,Olympique Ghorghar,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,2,1,,,,
j381aV57,1/64-FINALS,FINISHED,28.11.2015 14:00,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,Siliana,https://static.flashscore.com/res/image/data/AqN7wmh5-xn8wh4Km.png,1,3,,,,
46dqOEr8,1/64-FINALS,AFTER PENALTIES,28.11.2015 14:00,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,1,0,0-0,6-5,,
MNGp3D6r,1/64-FINALS,FINISHED,28.11.2015 14:00,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,Grombalia Sports,https://static.flashscore.com/res/image/data/2ThmPMCa-vZhtxHcd.png,2,0,,,,
0KAJ7gbR,1/64-FINALS,FINISHED,28.11.2015 14:00,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Sbeitla,https://static.flashscore.com/res/image/data/A3fHmHcM-8IKC4dk0.png,3,0,,,,
GpGl2XLl,1/64-FINALS,AFTER PENALTIES,28.11.2015 14:00,Olympique Kef,https://static.flashscore.com/res/image/data/QslOibZg-2ZKZQIc5.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,1,2,1-1,3-4,,
IeLE8ZrL,1/64-FINALS,FINISHED,28.11.2015 14:00,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,0,1,,,,
fyFh1iye,1/64-FINALS,FINISHED,28.11.2015 14:00,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,0,1,,,,
CC9c0Bj1,1/64-FINALS,AFTER PENALTIES,28.11.2015 14:00,Stir Zarzouna,https://static.flashscore.com/res/image/data/G8cG25il-ImWlSf1s.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,0,0-0,3-1,,
I90mNYcE,1/64-FINALS,AFTER PENALTIES,28.11.2015 14:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,0,1,0-0,1-3,,
