matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
MoD9lWSG,FINAL,FINISHED,01.06.2025 16:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,1,0,,,Ben Ishak O. (Tun),Stade Olympique Hammadi Agrebi (Radès),60 000,52%,48%,7,6,2,1,6,3,4,3,5,5,1,1
GQRDST1n,SEMI-FINALS,AFTER PENALTIES,24.05.2025 15:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,0-0,2-4,,Stade Mustapha Ben Jannet (Monastir),20 000,,,,,,,,,,,,,,
zH1ftdR8,QUARTER-FINALS,FINISHED,18.05.2025 17:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,,,,Stade Olympique de Sousse (Sousse),40 000,,,,,,,,,,,,,,
Q1n48QGU,SEMI-FINALS,FINISHED,25.05.2025 15:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,3,,,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,
zmxJwgif,QUARTER-FINALS,FINISHED,18.05.2025 14:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,3,0,,,,Stade Mustapha Ben Jannet (Monastir),20 000,,,,,,,,,,,,,,
4STZZAjJ,QUARTER-FINALS,FINISHED,18.05.2025 14:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,3,1,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
WEVRyXL6,QUARTER-FINALS,AFTER PENALTIES,17.05.2025 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,3,2,1-1,8-7,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,
GSIhSI34,1/8-FINALS,FINISHED,30.04.2025 14:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,,,,,,,,,,,,,,,,,
UVrStIIc,1/8-FINALS,FINISHED,27.04.2025 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,0,,,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,
rFKpUvZi,1/8-FINALS,AFTER EXTRA TIME,27.04.2025 14:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,2,1,1-1,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
