matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.free_kicks.home,statistics.free_kicks.away,statistics.throw-ins.home,statistics.throw-ins.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
niq5zxLQ,1/16-FINALS,FINISHED,26.05.2021 15:00,Enfida Sports,https://static.flashscore.com/res/image/data/6ezmXGCa-IPZOWBuE.png,Djelma,https://static.flashscore.com/res/image/data/lxKtpOAr-8bK9aO3T.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
6yQyVFrl,1/16-FINALS,AFTER PENALTIES,26.05.2021 15:00,Espoir Rogba,https://static.flashscore.com/res/image/data/K6T89IXg-63ZB9bOR.png,Bembla,https://static.flashscore.com/res/image/data/IDspr1Da-Y3QCyThc.png,0,1,0-0,3-5,,,,,,,,,,,,,,,,,,,,,
lnnXKZyj,1/16-FINALS,FINISHED,26.05.2021 15:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,,,,,
OCzXVeTs,1/16-FINALS,FINISHED,26.05.2021 15:00,Mareth,https://static.flashscore.com/res/image/data/b3oLv0yB-GUQR1ULC.png,Tabarka,https://static.flashscore.com/res/image/data/E5rC9CWg-0MAphK8f.png,1,2,,,,,,,,,,,,,,,,,,,,,,,
pSOuUZcf,1/16-FINALS,FINISHED,26.05.2021 15:00,Menzel Bouzaien,https://static.flashscore.com/res/image/data/z5lER8Wg-MF7vOlrj.png,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
v9tntp8b,1/16-FINALS,FINISHED,26.05.2021 15:00,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
zetIEfb7,1/16-FINALS,AFTER PENALTIES,26.05.2021 15:00,SS Gafsa,https://static.flashscore.com/res/image/data/2PFVQ8YA-IHmeUZM3.png,Redeyef,https://static.flashscore.com/res/image/data/65rUqnzB-xzIaewWu.png,1,0,0-0,5-4,,,,,,,,,,,,,,,,,,,,,
E1TqTgD0,1/16-FINALS,AFTER EXTRA TIME,26.05.2021 15:00,Zaouiet Sousse,https://static.flashscore.com/res/image/data/EuupP0h5-rP0ntKDA.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,0,2,0-0,,,,,,,,,,,,,,,,,,,,,,
tYtEFzq1,1/16-FINALS,AFTER PENALTIES,25.05.2021 15:00,Carthage,https://static.flashscore.com/res/image/data/dbPvtsBr-Kz5IDlTA.png,Borj Cedria,https://static.flashscore.com/res/image/data/SGKJp3eM-W6G6DmEi.png,0,1,0-0,4-5,,,,,,,,,,,,,,,,,,,,,
hUq1yI5K,1/16-FINALS,FINISHED,25.05.2021 15:00,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,2,3,,,,,,,,,,,,,,,,,,,,,,,
