matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity
zTDiujSj,SEMI-FINALS,AFTER EXTRA TIME,21.06.2014 15:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,2,0,0-0,
dxFmtWCp,SEMI-FINALS,AFTER PENALTIES,22.06.2014 16:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,0-0,4-5
jJd0acvc,QUARTER-FINALS,FINISHED,15.06.2014 15:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,,,Stade El Menzah (Tunis),39 858
xzaCdeOF,QUARTER-FINALS,FINISHED,15.06.2014 15:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,,,Stade El Menzah (Tunis),39 858
lCwCDCDn,FINAL,FINISHED,27.06.2014 17:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,Stade Olympique de Sousse (Sousse),40 000
bq08cy99,QUARTER-FINALS,FINISHED,15.06.2014 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,3,0,,,Stade Olympique de Sousse (Sousse),40 000
U9e4bHg3,QUARTER-FINALS,FINISHED,15.06.2014 15:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,0,2,,,,
SG7ljASb,1/8-FINALS,FINISHED,12.06.2014 15:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Menzel Abderrahmane,https://static.flashscore.com/res/image/data/d277DrwS-8An8DXeO.png,3,0,,,,
lQ8pijDh,1/8-FINALS,FINISHED,12.06.2014 15:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,1,0,,,Stade El Menzah (Tunis),39 858
tM2UpFjJ,1/8-FINALS,FINISHED,12.06.2014 15:30,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,0,2,,,,
8SOokUs5,1/8-FINALS,FINISHED,12.06.2014 15:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,3,1,,,Stade El Menzah (Tunis),39 858
nJNkllcB,1/8-FINALS,FINISHED,12.06.2014 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Feriana,https://static.flashscore.com/res/image/data/dfkNH7FG-n1oCCiBU.png,3,0,,,Stade Olympique de Sousse (Sousse),40 000
t05xgCrt,1/8-FINALS,FINISHED,12.06.2014 15:30,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,3,,,,
f39thWcn,1/8-FINALS,AFTER EXTRA TIME,12.06.2014 15:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,0,0-0,,,
SK5TKKpp,1/16-FINALS,AFTER PENALTIES,10.05.2014 15:00,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,2,1,1-1,5-4,,
ttNgm8CH,1/8-FINALS,FINISHED,07.06.2014 15:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,3,0,,,,
QBJ1P0xT,1/16-FINALS,FINISHED,24.04.2014 14:00,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,4,,,,
bNd7FP84,1/16-FINALS,FINISHED,20.04.2014 14:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,3,1,,,Stade El Menzah (Tunis),39 858
04YyV48i,1/64-FINALS,FINISHED,20.04.2014 14:00,Grombalia Sports,https://static.flashscore.com/res/image/data/2ThmPMCa-vZhtxHcd.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,,,,
UqQhRM7G,1/16-FINALS,FINISHED,20.04.2014 14:00,Haffouz,https://static.flashscore.com/res/image/data/25mI2ayS-ba1JKngh.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,1,,,,
KWc3G5gb,1/16-FINALS,FINISHED,20.04.2014 14:00,HSKK,https://static.flashscore.com/res/image/data/fBpgFayS-n1oCCiBU.png,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,0,3,,,,
MJMpTrw4,1/16-FINALS,FINISHED,20.04.2014 14:00,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,2,3,,,,
lCkKCNhN,1/16-FINALS,FINISHED,20.04.2014 14:00,NA Bouhjar,https://static.flashscore.com/res/image/data/SSQRn4ZA-K6ej6Fq9.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,0,2,,,,
fkjGD3wH,1/16-FINALS,FINISHED,20.04.2014 14:00,Stade Nabeulien,https://static.flashscore.com/res/image/data/Ac8Ty3EG-Gx7siOZg.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,1,3,,,,
zNQlS2hA,1/16-FINALS,AFTER EXTRA TIME,19.04.2014 14:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,1-1,,,
GbiCEqOA,1/16-FINALS,AFTER PENALTIES,19.04.2014 14:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,2,1,1-1,5-3,,
2FgOBs8T,1/16-FINALS,FINISHED,19.04.2014 14:00,Feriana,https://static.flashscore.com/res/image/data/dfkNH7FG-n1oCCiBU.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,2,1,,,,
nmVf6LVj,1/16-FINALS,FINISHED,19.04.2014 14:00,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,Layoun,https://static.flashscore.com/res/image/data/OUzzTxe5-8An8DXeO.png,2,0,,,,
veXuUONc,1/16-FINALS,FINISHED,19.04.2014 14:00,Menzel Abderrahmane,https://static.flashscore.com/res/image/data/d277DrwS-8An8DXeO.png,Menzel Bouzelfa,https://static.flashscore.com/res/image/data/vZ0LDcYg-jaLHQWCH.png,1,0,,,,
8zPdQtNM,1/16-FINALS,FINISHED,19.04.2014 14:00,Siliana,https://static.flashscore.com/res/image/data/AqN7wmh5-xn8wh4Km.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,2,,,,
8dWj71Gp,1/16-FINALS,FINISHED,18.04.2014 14:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,2,3,,,,
0EgoeVmi,1/32-FINALS,FINISHED,16.03.2014 14:00,AS Tataouine,https://static.flashscore.com/res/image/data/fDX5w3il-pC92HWTo.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,1,2,,,,
v5hkfk3c,1/32-FINALS,AFTER PENALTIES,16.03.2014 14:00,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,1,2,1-1,,,
lzQSxlYM,1/32-FINALS,FINISHED,16.03.2014 14:00,Cheneni,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Haffouz,https://static.flashscore.com/res/image/data/25mI2ayS-ba1JKngh.png,2,1,,,,
hU7fimmG,1/32-FINALS,FINISHED,16.03.2014 14:00,ES Nafta,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,0,2,,,,
SQOWy8mT,1/32-FINALS,FINISHED,22.03.2014 14:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,5,0,,,,
Y71aXRep,1/32-FINALS,FINISHED,16.03.2014 14:00,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,3,1,,,,
KG9ng9I3,1/32-FINALS,AFTER EXTRA TIME,15.03.2014 14:00,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Menzel Bouzelfa,https://static.flashscore.com/res/image/data/vZ0LDcYg-jaLHQWCH.png,2,3,2-2,,,
nB53WoBj,1/32-FINALS,FINISHED,16.03.2014 14:00,NA Bouhjar,https://static.flashscore.com/res/image/data/SSQRn4ZA-K6ej6Fq9.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,2,0,,,,
EcV3rh4o,1/32-FINALS,FINISHED,15.03.2014 14:00,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,0,1,,,,
tAMKvA3A,1/32-FINALS,FINISHED,15.03.2014 14:00,HSKK,https://static.flashscore.com/res/image/data/fBpgFayS-n1oCCiBU.png,Dehmani,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,3,2,,,,
nBTBtWYc,1/32-FINALS,FINISHED,15.03.2014 14:00,Feriana,https://static.flashscore.com/res/image/data/dfkNH7FG-n1oCCiBU.png,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,2,1,,,,
boXFujl4,1/32-FINALS,FINISHED,15.03.2014 14:00,Layoun,https://static.flashscore.com/res/image/data/OUzzTxe5-8An8DXeO.png,Mdhilla,https://static.flashscore.com/res/image/data/408AMIEG-x6GNeBnt.png,2,1,,,,
xtnLJ8Rp,1/32-FINALS,FINISHED,15.03.2014 14:00,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,Mateur,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,4,2,,,,
hlU7sCJi,1/32-FINALS,FINISHED,15.03.2014 14:00,Siliana,https://static.flashscore.com/res/image/data/AqN7wmh5-xn8wh4Km.png,Enfida Sports,https://static.flashscore.com/res/image/data/6ezmXGCa-IPZOWBuE.png,1,0,,,,
b78jhTX9,1/32-FINALS,FINISHED,15.03.2014 14:00,Menzel Abderrahmane,https://static.flashscore.com/res/image/data/d277DrwS-8An8DXeO.png,CS Makthar,https://static.flashscore.com/res/image/data/xdHh8bhl-8jMHXzst.png,1,0,,,,
K0LOwUIG,1/32-FINALS,AFTER PENALTIES,15.03.2014 14:00,Stade Nabeulien,https://static.flashscore.com/res/image/data/Ac8Ty3EG-Gx7siOZg.png,Olympique Kef,https://static.flashscore.com/res/image/data/QslOibZg-2ZKZQIc5.png,2,1,1-1,,,
44kC2gRd,1/64-FINALS,AFTER PENALTIES,22.12.2013 13:30,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,1,1-1,,,
GM1NaiBF,1/64-FINALS,FINISHED,22.12.2013 13:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,2,1,,,,
boiSbBQL,1/64-FINALS,FINISHED,22.12.2013 13:30,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,2,1,,,,
xW2J0Xe9,1/64-FINALS,FINISHED,22.12.2013 13:30,Olympique Kef,https://static.flashscore.com/res/image/data/QslOibZg-2ZKZQIc5.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,2,0,,,,
relG1Dt3,1/64-FINALS,AFTER PENALTIES,22.12.2013 13:30,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,0,1,0-0,0-3,,
ld7PvjZk,1/64-FINALS,FINISHED,21.12.2013 13:30,Enfida Sports,https://static.flashscore.com/res/image/data/6ezmXGCa-IPZOWBuE.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,1,0,,,,
2aBTwAld,1/64-FINALS,FINISHED,21.12.2013 13:30,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,1,0,,,,
fZ7LuWJq,1/64-FINALS,FINISHED,21.12.2013 13:30,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,1,0,,,,
hQLgpCBS,1/64-FINALS,FINISHED,21.12.2013 13:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,3,2,,,,
zkRlohdM,1/64-FINALS,FINISHED,21.12.2013 13:30,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,4,0,,,,
