matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity
4KDTcYuI,QUARTER-FINALS,AFTER PENALTIES,19.02.2017 13:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,1,0-0,1-2
ILtLUe17,SEMI-FINALS,AFTER PENALTIES,28.05.2017 15:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,0,0-0,5-4
I3BH0zda,QUARTER-FINALS,FINISHED,19.02.2017 13:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,1,0,,
dfALafB5,QUARTER-FINALS,FINISHED,19.02.2017 16:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,2,0,,,Stade El Menzah (Tunis),39 858
zciGVyn1,SEMI-FINALS,FINISHED,27.05.2017 15:30,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,3,,,,
xvkOXkkc,FINAL,FINISHED,17.06.2017 15:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,0,,,Stade Olympique Hammadi Agrebi (Radès),60 000
jH9PbEQB,QUARTER-FINALS,AFTER PENALTIES,19.02.2017 13:30,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,0,0-0,5-4,,
YTUk4ZvG,1/8-FINALS,AFTER PENALTIES,14.12.2016 13:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,2,1-1,3-4,,
xGGFKfPd,1/8-FINALS,FINISHED,14.12.2016 13:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,1,0,,,,
A9OTdiXk,1/8-FINALS,AFTER EXTRA TIME,14.12.2016 13:30,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,2,0,0-0,,,
SpZOcXHq,1/8-FINALS,FINISHED,14.12.2016 13:30,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,2,3,,,,
