Era: Pre or Post independence,BeforeAfterIndependence: 'Before' or 'After' derived from Era,"Season: e.g., 1955–56",Winner: cup winner,Score: match score (with notes if present),RunnerUp: defeated finalist,Date: date or range,Venue: stadium (if available)
Era,BeforeAfterIndependence,Season,Winner,Score,RunnerUp,Date,Venue
Post,After,1989–90,AS Marsa,3–2,Stade Tunisien,28 June 1990,El Menzah Stadium
Post,After,1990–91,Espérance de Tunis,2–1,Étoile du Sahel,8 December 1991,El Menzah Stadium
Post,After,1991–92,Club Africain,2–1,Stade Tunisien,21 June 1992,El Menzah Stadium
Post,After,1992–93,Olympique Béja,0–0 (3–1 p),AS Marsa,13 June 1993,El Menzah Stadium
Post,After,1993–94,AS Marsa,1–0,Étoile du Sahel,26 June 1994,El Menzah Stadium
Post,After,1994–95,CS Sfaxien,2–1,Olympique Béja,1 July 1995,El Menzah Stadium
Post,After,1995–96,Étoile du Sahel,2–1,JS Kairouan,6 July 1996,El Menzah Stadium
Post,After,1996–97,Espérance de Tunis,1–0,CS Sfaxien,21 June 1997,El Menzah Stadium
Post,After,1997–98,Club Africain,1–1 (4–3 p),Olympique Béja,3 May 1998,El Menzah Stadium
Post,After,1998–99,Espérance de Tunis,2–1 (a.e.t.),Club Africain,1 July 1999,El Menzah Stadium
Post,After,1999–00,Club Africain,0–0 (4–3 p),CS Sfaxien,22 October 2000,El Menzah Stadium
Post,After,2000–01,CS Hammam-Lif,1–0,Étoile du Sahel,6 July 2001,El Menzah Stadium
Post,After,2002–03,Stade Tunisien,1–0,Club Africain,15 June 2003,Radès Olympic Stadium
Post,After,2003–04,CS Sfaxien,2–0 (a.e.t.),Espérance de Tunis,20 November 2004,Radès Olympic Stadium
Post,After,2004–05,Espérance de Zarzis,2–0,Espérance de Tunis,22 May 2005,Radès Olympic Stadium
Post,After,2005–06,Espérance de Tunis,2–2 (5–4 p),Club Africain,12 May 2006,Radès Olympic Stadium
Post,After,2006–07,Espérance de Tunis,2–1,CA Bizertin,20 May 2007,Radès Olympic Stadium
Post,After,2007–08,Espérance de Tunis,2–1,Étoile du Sahel,6 July 2008,Radès Olympic Stadium
Post,After,2008–09,CS Sfaxien,1–0 (a.e.t.),US Monastir,23 May 2009,Radès Olympic Stadium
Post,After,2009–10,Olympique Béja,1–0,CS Sfaxien,22 May 2010,Radès Olympic Stadium
Post,After,2010–11,Espérance de Tunis,1–0,Étoile du Sahel,25 July 2011,Radès Olympic Stadium
Post,After,2011–12,Étoile du Sahel,1–0,CS Sfaxien,11 August 2013[a],Radès Olympic Stadium
Post,After,2012–13,CA Bizertin,2–1,AS Marsa,15 June 2013,Chedly Zouiten Stadium
Post,After,2013–14,Étoile du Sahel,1–0,CS Sfaxien,27 June 2014,Radès Olympic Stadium
Post,After,2014–15,Étoile du Sahel,4–3,Stade Gabèsien,29 August 2015,Radès Olympic Stadium
Post,After,2015–16,Espérance de Tunis,2–0,Club Africain,27 August 2016,Radès Olympic Stadium
Post,After,2016–17,Club Africain,1–0,US Ben Guerdane,17 June 2017,Radès Olympic Stadium
Post,After,2017–18,Club Africain,4–1,Étoile du Sahel,13 May 2018,Radès Olympic Stadium
Post,After,2018–19,CS Sfaxien,0–0 (5–4 p),Étoile du Sahel,17 August 2019,Radès Olympic Stadium
Post,After,2019–20,US Monastir,2–0,Espérance de Tunis,27 September 2020,Mustapha Jannet Stadium
Post,After,2020–21,CS Sfaxien,0–0 (5–4 p),Club Africain,27 June 2021,Midoun Municipal Stadium
Post,After,2021–22,CS Sfaxien,2–0,AS Marsa,10 September 2022,Hammadi Agrebi Stadium
Post,After,2022–23,Olympique Béja,1–0,Espérance de Tunis,28 May 2023,Hammadi Agrebi Stadium
Post,After,2023–24,Stade Tunisien,2–0,CA Bizertin,30 June 2024,Hammadi Agrebi Stadium
Post,After,2024–25,Espérance de Tunis,1–0,Stade Tunisien,1 June 2025,Hammadi Agrebi Stadium
