matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity
x6wtmFma,ROUND 6,FINISHED,29.05.2013 15:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,2,1,,
8jFIVDIO,ROUND 4,FINISHED,23.05.2013 15:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,,
fslyleYh,ROUND 6,FINISHED,29.05.2013 15:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,2,1,,
nHpTkH3t,ROUND 5,FINISHED,26.05.2013 15:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,1,,
p8b1fceP,ROUND 4,FINISHED,23.05.2013 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,0,,
tvpXlyJn,ROUND 5,FINISHED,26.05.2013 15:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,0,,
zwHAXZmC,ROUND 3,FINISHED,15.05.2013 15:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,1,,
UaGEWg3I,ROUND 3,FINISHED,15.05.2013 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,0,,
O2D6YFY5,ROUND 2,FINISHED,12.05.2013 15:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,3,,,Stade Olympique de Sousse (Sousse),40 000
tvO1ZeJa,ROUND 2,FINISHED,12.05.2013 15:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,0,,,Stade El Menzah (Tunis),39 858
