matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity,information.referee
lAA9Es3U,ROUND 28,FINISHED,04.05.2025 15:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,0,0,,,Soliman Municipal Stadium (Soliman),3 000
vcrK3QlC,ROUND 28,FINISHED,04.05.2025 15:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,1,,,Stade Olympique de Sousse (Sousse),40 000
b1FpKoZh,ROUND 28,FINISHED,03.05.2025 15:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,3,2,,,7 March Stadium (Ben Guerdane),2 000
hrH0G3YH,ROUND 28,FINISHED,03.05.2025 15:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,0,,,Stade Olympique Hammadi Agrebi (Radès),60 000
CAtS14JO,ROUND 28,FINISHED,03.05.2025 15:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,0,,,Metlaoui Municipal stadium (Metlaoui),4 000
jyCxM74t,ROUND 28,FINISHED,03.05.2025 15:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,0,,,Stade Hedi-Enneifer (Le Bardo),
KW3FVGDk,ROUND 13,FINISHED,23.04.2025 15:00,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,2,3,,,Stade du 7 Novembre (Gafsa),7 000
jwsq2DD7,ROUND 27,FINISHED,20.04.2025 16:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,3,,,Stade Olympique Hammadi Agrebi (Radès),60 000
bNSZ5eEr,ROUND 27,FINISHED,20.04.2025 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,3,0,,,7 March Stadium (Ben Guerdane),2 000
WCreDwM8,ROUND 27,FINISHED,20.04.2025 14:30,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,2,0,,,Gafsa Olympic Stadium (Gafsa),7 000
