matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,home_scorers,away_scorers,information.venue,information.capacity
YmZvfIfo,ROUND 9,FINISHED,23.06.2022 17:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,1,,,,,Stade Olympique de Sousse (Sousse),40 000
z9RD2Abo,ROUND 9,FINISHED,23.06.2022 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
21C7CQAC,ROUND 8,FINISHED,19.06.2022 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,3,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
8MPL0lTc,ROUND 10,FINISHED,26.06.2022 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,2,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
MPTPa8r4,ROUND 10,FINISHED,26.06.2022 17:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,2,2,,,,,,
IZXpZLjl,ROUND 6,FINISHED,29.05.2022 16:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,0,0,,,,,,
dOBBBpQI,ROUND 8,FINISHED,19.06.2022 17:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,1,,,,,7 March Stadium (Ben Guerdane),2 000
4lJUbScA,ROUND 10,FINISHED,26.06.2022 17:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,0,,,,,Stade Olympique de Sousse (Sousse),40 000
lb83D6e6,ROUND 8,FINISHED,18.06.2022 17:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,2,0,,,,,,
EaQH1UDi,ROUND 9,FINISHED,22.06.2022 17:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,2,,,,,7 March Stadium (Ben Guerdane),2 000
