matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity
xW27Ia2K,ROUND 13,,04.11.2025 14:30,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,,,,,Soliman Municipal Stadium (Soliman),3 000
OSxY30mR,ROUND 13,,04.11.2025 14:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,,,,,,
z7dwrJQ7,ROUND 13,,05.11.2025 14:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,,,,,Stade Olympique de Sousse (Sousse),40 000
vu3Uqude,ROUND 13,,06.11.2025 14:30,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,,,,,Stade Hedi-Enneifer (Le Bardo),
S0qP5MIE,ROUND 13,,06.11.2025 14:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
hrT3bvBl,ROUND 13,,05.11.2025 14:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,,,,,Metlaoui Municipal stadium (Metlaoui),4 000
EcHCdIu1,ROUND 13,,05.11.2025 14:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,,,,,,
MNKKfdAD,ROUND 13,,05.11.2025 14:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,,,,,Boujemaa Kmiti Stadium (Béja),15 000
McyULY8C,ROUND 14,,08.11.2025 14:30,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,,,,,Gabes Municipal Stadium (Gabes),15 000
QVsLNfv0,ROUND 14,,08.11.2025 14:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,,,,,Stade 15 Octobre (Bizerte),20 000
Mqde7ZgJ,ROUND 14,,09.11.2025 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,,,,,7 March Stadium (Ben Guerdane),2 000
ljlsVxnQ,ROUND 14,,08.11.2025 14:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,,,,,Stade Taïeb Mehiri (Sfax),22 000
Y1lwDwQs,ROUND 14,,08.11.2025 14:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,,,,,Stade Mustapha Ben Jannet (Monastir),20 000
h44vBHff,ROUND 14,,09.11.2025 14:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
0U7n9eP6,ROUND 14,,09.11.2025 14:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,,,,,Metlaoui Municipal stadium (Metlaoui),4 000
hIqDPG9m,ROUND 14,,10.11.2025 14:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,,,,,Stade Chedly Zouiten (Tunis),18 000
MLkhM2Kh,ROUND 15,,22.11.2025 16:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,,,,,,
WfuxMgQ9,ROUND 15,,22.11.2025 16:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
AuiTNFec,ROUND 15,,22.11.2025 16:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,,,,,Stade Olympique de Sousse (Sousse),40 000
z5ipOOkt,ROUND 15,,22.11.2025 16:00,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,,,,,,
UNvxKCwP,ROUND 15,,22.11.2025 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,,,,,Boujemaa Kmiti Stadium (Béja),15 000
j1s9IKJH,ROUND 15,,22.11.2025 16:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,,,,,Soliman Municipal Stadium (Soliman),3 000
Imq1Ktk5,ROUND 15,,22.11.2025 16:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,,,,,Stade Hedi-Enneifer (Le Bardo),
p2as0C3j,ROUND 15,,22.11.2025 16:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,,,,,Abdessalem Kazouz Stadium (Zarzis),7 000
nPxk49sA,ROUND 12,FINISHED,02.11.2025 14:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,3,0,,,Stade 15 Octobre (Bizerte),20 000
Qe97iWc4,ROUND 12,FINISHED,02.11.2025 14:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,2,,,Stade Taïeb Mehiri (Sfax),22 000
SK5OmlcT,ROUND 12,FINISHED,02.11.2025 14:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,0,,,Stade Chedly Zouiten (Tunis),18 000
OjifrSKj,ROUND 12,ABANDONED,02.11.2025 14:30,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,0,0,,,Abdessalem Kazouz Stadium (Zarzis),7 000
vaZt6VCc,ROUND 12,FINISHED,01.11.2025 14:30,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,1,,,Gabes Municipal Stadium (Gabes),15 000
4tLbghTi,ROUND 12,FINISHED,01.11.2025 14:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,2,0,,,7 March Stadium (Ben Guerdane),2 000
6DkNo1Rr,ROUND 12,FINISHED,01.11.2025 14:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,1,1,,,Stade Olympique Hammadi Agrebi (Radès),60 000
YLCFkASG,ROUND 12,FINISHED,01.11.2025 14:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,2,0,,,Stade Olympique de Sousse (Sousse),40 000
QZXWvgEb,ROUND 11,FINISHED,30.10.2025 14:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,2,0,,,Stade Olympique Hammadi Agrebi (Radès),60 000
xzTCVlyo,ROUND 11,FINISHED,29.10.2025 14:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,2,,,,
fFPmyBDN,ROUND 11,FINISHED,29.10.2025 14:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,0,0,,,Stade Mustapha Ben Jannet (Monastir),20 000
M1RuwXrB,ROUND 11,FINISHED,29.10.2025 14:30,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,0,,,Stade Hedi-Enneifer (Le Bardo),
Mmn7OXTH,ROUND 11,FINISHED,26.10.2025 14:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,0,3,,,Boujemaa Kmiti Stadium (Béja),15 000
Ee4EMBbU,ROUND 11,FINISHED,26.10.2025 14:30,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,0,0,,,Soliman Municipal Stadium (Soliman),3 000
QLhbQga5,ROUND 11,FINISHED,25.10.2025 14:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,3,,,,
I9UOtFqn,ROUND 11,FINISHED,25.10.2025 14:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,1,0,,,Metlaoui Municipal stadium (Metlaoui),4 000
