matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,home_scorers,away_scorers,information.venue,information.capacity
M95F1Lpl,ROUND 2,FINISHED,26.10.2022 14:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,2,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
23sm6oVe,ROUND 3,FINISHED,23.10.2022 14:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,2,,,,,,
6ylv870q,ROUND 3,FINISHED,23.10.2022 14:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,2,2,,,,,Boujemaa Kmiti Stadium (Béja),15 000
pSnr7RFk,ROUND 3,FINISHED,23.10.2022 14:30,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,0,,,,,,
hU73E9NF,ROUND 3,FINISHED,22.10.2022 14:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,2,,,,,,
ld1CCmhS,ROUND 3,FINISHED,22.10.2022 14:30,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,0,1,,,,,,
lnOu2dy7,ROUND 1,FINISHED,20.10.2022 15:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,0,,,,,Boujemaa Kmiti Stadium (Béja),15 000
lCkOLag4,ROUND 2,FINISHED,16.10.2022 15:00,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,1,0,,,,,,
ALjKMuvb,ROUND 2,FINISHED,16.10.2022 15:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,0,,,,,,
0j9TaIWp,ROUND 2,FINISHED,15.10.2022 15:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,1,,,,,,
EgcBO19o,ROUND 2,FINISHED,13.10.2022 15:00,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,5,,,,,,
h8MWYR3m,FINAL,AFTER PENALTIES,13.10.2022 15:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,1,2,1-1,1-3,,,,
lG3AwJyR,ROUND 1,FINISHED,08.10.2022 15:00,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,3,0,,,,,,
dW9W5vxr,ROUND 1,FINISHED,08.10.2022 15:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,0,,,,,,
GYPX3I6f,ROUND 1,FINISHED,08.10.2022 15:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,2,1,,,,,,
d2htbV0K,SEMI-FINALS,FINISHED,08.10.2022 15:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,3,1,,,,,,
2kSq1GjD,ROUND 1,FINISHED,07.10.2022 15:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,1,0,,,,,7 March Stadium (Ben Guerdane),2 000
fPOy3xM0,ROUND 1,FINISHED,07.10.2022 15:00,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,0,0,,,,,,
